,0
0,2000.0
1,2000.0
2,2000.0
3,2000.0
4,2000.0
5,2000.0
6,2000.0
7,2000.0
8,2000.0
9,2000.0
10,2000.0
11,2000.0
12,2000.0
13,2000.0
14,2000.0
15,2000.0
16,2000.0
17,2000.0
18,2000.0
19,2000.0
20,2000.0
21,2000.0
22,2000.0
23,2000.0
24,2000.0
25,2000.0
26,2000.0
27,2000.0
28,2000.0
29,2000.0
30,2000.0
31,2000.0
32,2000.0
33,2000.0
34,2000.0
35,2000.0
36,2000.0
37,2000.0
38,2000.0
39,2000.0
40,2000.0
41,2000.0
42,2000.0
43,2000.0
44,2000.0
45,2000.0
46,2000.0
47,2000.0
48,2000.0
49,2000.0
50,2000.0
51,2000.0
52,2000.0
53,2000.0
54,2000.0
55,2000.0
56,2000.0
57,2000.0
58,2000.0
59,2000.0
60,2000.0
61,2000.0
62,2000.0
63,2000.0
64,2000.0
65,2000.0
66,2000.0
67,2000.0
68,2000.0
69,2000.0
70,2000.0
71,2000.0
72,2000.0
73,2000.0
74,2000.0
75,2000.0
76,2000.0
77,2000.0
78,2000.0
79,2000.0
80,2000.0
81,2000.0
82,2000.0
83,2000.0
84,2000.0
85,2000.0
86,2000.0
87,2000.0
88,2000.0
89,2000.0
90,2000.0
91,2000.0
92,2000.0
93,2000.0
94,2000.0
95,2000.0
96,2000.0
97,2000.0
98,2000.0
99,2000.0
100,2000.0
101,2000.0
102,2000.0
103,2000.0
104,2000.0
105,2000.0
106,2000.0
107,2000.0
108,2000.0
109,2000.0
110,2000.0
111,2000.0
112,2000.0
113,2000.0
114,2000.0
115,2000.0
116,2000.0
117,2000.0
118,2000.0
119,2000.0
120,2000.0
121,2000.0
122,2000.0
123,2000.0
124,2000.0
125,2000.0
126,2000.0
127,2000.0
128,2000.0
129,2000.0
130,2000.0
131,2000.0
132,2000.0
133,2000.0
134,2000.0
135,2000.0
136,2000.0
137,2000.0
138,2000.0
139,2000.0
140,2000.0
141,2000.0
142,2000.0
143,2000.0
144,2000.0
145,2000.0
146,2000.0
147,2000.0
148,2000.0
149,2000.0
150,2000.0
151,2000.0
152,2000.0
153,2000.0
154,2000.0
155,2000.0
156,2000.0
157,2000.0
158,2000.0
159,2000.0
160,2000.0
161,2000.0
162,2000.0
163,2000.0
164,2000.0
165,2000.0
166,2000.0
167,2000.0
168,2000.0
169,2000.0
170,2000.0
171,2000.0
172,2000.0
173,2000.0
174,2000.0
175,2000.0
176,2000.0
177,2000.0
178,2000.0
179,2000.0
180,2000.0
181,2000.0
182,2000.0
183,2000.0
184,2000.0
185,2000.0
186,2000.0
187,2000.0
188,2000.0
189,2000.0
190,2000.0
191,2000.0
192,2000.0
193,2000.0
194,2000.0
195,2000.0
196,2000.0
197,2000.0
198,2000.0
199,2000.0
200,2000.0
201,2000.0
202,2000.0
203,2000.0
204,2000.0
205,2000.0
206,2000.0
207,2000.0
208,2000.0
209,2000.0
210,2000.0
211,2000.0
212,2000.0
213,2000.0
214,2.0
215,10.0
216,10.0
217,20.0
218,2.0
219,10.0
220,40.0
221,48.0
222,50.0
223,110.0
224,110.0
225,120.0
226,440.0
227,530.0
228,750.0
229,901.0
230,902.0
